G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-30 00:00:58.386976 - 2025-06-30 00:01:00.447353 | Duration: 0:00:02 | Date: 2025-06-30
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-07-01 23:23:44.927948 - 2025-07-01 23:23:47.223683 | Duration: 0:00:02 | Date: 2025-07-01
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-07-01 23:24:58.014770 - 2025-07-01 23:25:00.440097 | Duration: 0:00:02 | Date: 2025-07-01
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-07-01 23:28:25.471759 - 2025-07-01 23:28:27.610147 | Duration: 0:00:02 | Date: 2025-07-01
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-07-01 23:31:03.824207 - 2025-07-01 23:31:06.023139 | Duration: 0:00:02 | Date: 2025-07-01
G1 | MC01 | IP: 192.168.1.9 | Downtime: 2025-07-01 23:34:11.774273 - 2025-07-01 23:35:11.809906 | Duration: 0:01:00 | Date: 2025-07-01
G3 | MC08 | IP: 192.168.1.16 | Downtime: 2025-07-01 23:42:26.847175 - 2025-07-01 23:46:51.382821 | Duration: 0:04:24 | Date: 2025-07-01
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-07-01 23:44:56.286480 - 2025-07-01 23:51:31.949572 | Duration: 0:06:35 | Date: 2025-07-01
G3 | MC08 | IP: 192.168.1.16 | Downtime: 2025-07-02 00:02:27.426941 - 2025-07-02 00:02:29.561448 | Duration: 0:00:02 | Date: 2025-07-02 | Start Shift: Night Shift (22:00-06:00) | End Shift: Night Shift (22:00-06:00)
G3 | MC08 | IP: 192.168.1.16 | Downtime: 2025-07-02 00:03:46.703704 - 2025-07-02 00:03:51.891208 | Duration: 0:00:05 | Date: 2025-07-02 | Start Shift: Night Shift (22:00-06:00) | End Shift: Night Shift (22:00-06:00)
G3 | MC08 | IP: 192.168.1.16 | Downtime: 2025-07-02 00:06:43.502382 - 2025-07-02 00:06:45.663026 | Duration: 0:00:02 | Date: 2025-07-02 | Start Shift: Night Shift (22:00-06:00) | End Shift: Night Shift (22:00-06:00)
G3 | MC08 | IP: 192.168.1.16 | Downtime: 2025-07-02 00:07:14.133392 - 2025-07-02 00:07:16.287467 | Duration: 0:00:02 | Date: 2025-07-02 | Start Shift: Night Shift (22:00-06:00) | End Shift: Night Shift (22:00-06:00)
G3 | MC08 | IP: 192.168.1.16 | Downtime: 2025-07-02 23:07:35.275122 - 2025-07-02 23:10:02.355808 | Duration: 0:02:27 | Date: 2025-07-02 | Start Shift: Night Shift (22:00-06:00) | End Shift: Night Shift (22:00-06:00)
G3 | MC08 | IP: 192.168.1.16 | Downtime: 2025-07-02 23:10:09.028066 - 2025-07-02 23:10:11.253933 | Duration: 0:00:02 | Date: 2025-07-02 | Start Shift: Night Shift (22:00-06:00) | End Shift: Night Shift (22:00-06:00)
